assets,sector,nation,interlocks
1154,MAN,US,3
1154,HLD,CAN,3
1112,AGR,US,5
1060,AGR,CAN,25
1027,MIN,OTH,14
984,MER,US,1
978,MAN,US,0
953,MIN,US,12
950,WOD,CAN,18
943,MER,US,11
904,MIN,CAN,39
898,AGR,UK,3
888,WOD,CAN,2
848,WOD,CAN,8
844,MAN,US,0
839,TRN,CAN,11
832,AGR,CAN,13
830,MIN,UK,1
816,MIN,CAN,10
809,MAN,UK,0
802,MAN,CAN,0
798,AGR,CAN,11
789,MIN,UK,9
789,MAN,US,6
782,MER,CAN,11
780,MAN,US,1
779,MER,CAN,14
761,WOD,US,1
751,AGR,CAN,8
742,AGR,CAN,7
727,AGR,CAN,1
707,AGR,US,9
704,HLD,CAN,10
702,MAN,CAN,3
690,WOD,OTH,0
677,MAN,CAN,12
638,MAN,US,6
637,AGR,US,1
636,MIN,US,0
614,CON,CAN,2
590,MAN,US,2
589,MIN,OTH,23
586,TRN,CAN,10
575,AGR,CAN,1
566,AGR,US,0
559,MAN,US,7
558,AGR,CAN,14
552,AGR,CAN,7
548,MIN,US,5
540,MAN,CAN,6
539,AGR,CAN,9
533,TRN,CAN,5
523,MAN,US,8
519,MAN,US,8
519,AGR,CAN,0
516,TRN,CAN,5
511,HLD,CAN,0
510,MAN,CAN,11
508,MAN,OTH,1
497,AGR,CAN,4
495,MAN,CAN,0
494,MER,CAN,8
488,MAN,CAN,1
487,MAN,CAN,8
471,MER,US,0
456,MIN,US,5
456,MAN,US,0
444,AGR,US,1
438,MAN,UK,18
432,MAN,US,1
432,MAN,CAN,3
422,WOD,US,11
407,MIN,US,6
402,MAN,US,0
391,AGR,CAN,28
387,MER,CAN,11
386,CON,OTH,2
379,MAN,US,16
376,MER,CAN,5
375,MAN,US,8
372,AGR,US,8
370,AGR,UK,3
364,TRN,US,5
361,MIN,US,2
359,AGR,US,0
358,AGR,US,0
352,WOD,CAN,21
350,MAN,US,1
345,MER,US,8
332,MAN,US,0
326,AGR,CAN,3
326,AGR,US,0
326,MAN,CAN,28
325,MAN,OTH,0
318,AGR,CAN,2
312,MAN,US,2
305,AGR,UK,4
304,MER,US,4
303,WOD,UK,3
297,CON,CAN,2
276,MIN,CAN,9
270,MAN,CAN,4
261,CON,UK,1
256,MAN,US,1
245,MIN,CAN,11
241,MIN,US,3
225,AGR,US,6
225,MIN,UK,8
220,AGR,US,0
201,AGR,US,5
200,MAN,US,0
188,MAN,US,0
160,AGR,CAN,0
158,AGR,CAN,5
119,AGR,CAN,6
62,MIN,US,0
